time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
0;0;0;0;0;0;0;0;0;1;0;15;0;True
1;0;0;0;0;0;0;0;0;1;0;15;0;True
2;0;0;0;0;0;0;0;0;1;0;15;0;True
3;0;0;0;0;0;0;0;0;1;0;15;0;True
4;0;0;0;0;0;0;0;0;1;0;15;0;True
5;0;0;0;0;0;0;0;0;1;1;19;58;False
6;0;0;0;0;0;0;0;0;0;1;19;57;False
7;0;0;0;0;0;0;0;0;0;1;19;56;False
8;0;0;0;0;0;0;0;0;0;1;19;55;False
9;0;0;0;0;0;0;0;0;0;1;19;54;False
10;0;0;0;0;0;0;0;0;0;1;19;53;False
11;0;0;0;0;0;0;0;0;0;1;19;52;False
12;0;0;0;0;0;0;0;0;0;1;19;51;False
13;0;0;0;0;0;0;0;0;0;1;19;50;False
14;0;0;0;0;0;0;0;0;0;1;19;49;False
15;0;0;0;0;0;0;0;0;0;1;19;48;False
16;0;0;0;0;0;0;0;0;0;1;19;47;False
17;0;0;0;0;0;0;0;0;0;1;19;46;False
18;0;0;0;0;0;0;0;0;0;1;19;45;False
19;0;0;0;0;0;0;0;0;0;1;19;44;False
20;0;0;0;0;0;0;0;0;0;1;19;43;False
21;0;0;0;0;0;0;0;0;0;1;19;42;False
22;0;0;0;0;0;0;0;0;0;1;19;41;False
23;0;0;0;0;0;0;0;0;0;1;19;40;False
24;0;0;0;0;0;0;0;0;0;1;19;39;False
25;0;0;0;0;0;0;0;0;0;1;19;38;False
26;0;0;0;0;0;0;0;0;0;1;19;37;False
27;0;0;0;0;0;0;0;0;0;1;19;36;False
28;0;0;0;0;0;0;0;0;0;1;19;35;False
29;0;0;0;0;0;0;0;0;0;1;19;34;False
30;0;0;0;0;0;0;0;0;0;1;19;33;False
31;0;0;0;0;0;0;0;0;0;1;19;32;False
32;0;0;0;0;0;0;0;0;0;1;19;31;False
33;0;0;0;0;0;0;0;0;0;1;19;30;False
34;0;0;0;0;0;0;0;0;0;1;19;29;False
35;0;0;0;0;0;0;0;0;0;1;19;28;False
36;0;0;0;0;0;0;0;0;0;1;19;27;False
37;0;0;0;0;0;0;0;0;0;1;19;26;False
38;0;0;0;0;0;0;0;0;0;1;19;25;False
