time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;0;0;0;0;0;0;0;0;1;0;0;0;0
2;0;0;0;0;0;0;0;0;1;0;0;0;0
3;0;0;0;0;0;0;0;0;1;0;0;0;0
4;0;0;0;0;0;0;0;0;1;0;0;0;0
5;0;0;0;0;0;0;0;0;1;0;0;0;0
6;0;0;0;0;0;0;0;0;1;0;0;0;0
7;0;0;0;0;0;0;0;0;1;0;0;0;0
8;0;0;0;0;0;0;0;0;1;0;0;0;0
9;0;0;0;0;0;0;0;0;1;0;0;0;0
10;0;0;0;0;0;0;0;0;1;0;0;0;0
11;0;1;0;1;0;0;0;1;1;3;19;59;False
12;0;1;0;1;0;0;0;1;0;3;19;59;False
13;0;1;0;1;0;0;0;1;0;3;19;58;False
14;0;1;0;1;0;0;0;1;0;3;19;57;False
15;0;1;0;1;0;0;0;1;0;3;19;56;False
16;0;1;0;1;0;0;0;1;0;3;19;55;False
17;0;1;0;1;0;0;0;1;0;3;19;54;False
18;0;0;0;0;0;0;0;0;0;3;19;53;False
19;0;0;0;0;0;0;0;0;0;3;19;52;False
20;0;0;0;0;0;0;0;0;0;3;19;51;False
21;0;0;0;0;0;0;0;0;0;3;19;50;False
22;0;0;0;0;0;0;0;0;0;3;19;49;False
23;0;0;0;0;0;0;0;0;0;3;19;48;False
24;0;0;0;0;0;0;0;0;0;3;19;47;False
25;0;0;0;0;0;0;0;0;0;3;19;46;False
26;0;0;0;0;0;0;0;0;0;3;19;45;False
27;0;0;0;0;0;0;0;0;0;3;19;44;False
28;0;0;0;0;0;0;0;0;0;3;19;43;False
29;0;0;0;0;0;0;0;0;0;3;19;42;False
30;0;0;0;0;0;0;0;0;0;3;19;41;False
31;0;0;0;0;0;0;0;0;0;3;19;40;False
32;0;0;0;0;0;0;0;0;0;3;19;39;False
33;0;0;0;0;0;0;0;0;0;3;19;38;False
34;0;0;0;0;0;0;0;0;0;3;19;37;False
35;0;0;0;0;0;0;0;0;0;3;19;36;False
36;0;0;0;0;0;0;0;0;0;3;19;35;False
37;0;0;0;0;0;0;0;0;0;3;19;34;False
38;0;0;0;0;0;0;0;0;0;3;19;33;False
39;0;0;0;0;0;0;0;0;0;3;19;32;False
40;0;0;0;0;0;0;0;0;0;3;19;31;False
41;0;0;0;0;0;0;0;0;0;3;19;30;False
42;0;0;0;0;0;0;0;0;0;3;19;29;False
43;0;0;0;0;0;0;0;0;0;3;19;28;False
44;0;0;0;0;0;0;0;0;0;3;19;27;False
45;0;0;0;0;0;0;0;0;0;3;19;26;False
46;0;0;0;0;0;0;0;0;0;3;19;25;False
47;0;0;0;0;0;0;0;0;0;3;19;24;False
48;0;0;0;0;0;0;0;0;0;3;19;23;False
49;0;0;0;0;0;0;0;0;0;3;19;22;False
50;0;0;0;0;0;0;0;0;0;3;19;21;True
51;0;0;0;0;0;0;0;0;1;3;19;21;True
52;0;0;0;0;0;0;0;0;1;3;19;21;True
53;0;0;0;0;0;0;0;0;1;3;19;21;True
54;0;0;0;0;0;0;0;0;1;3;19;21;True
55;0;0;0;0;0;0;0;0;1;3;19;21;True
56;0;0;0;0;0;0;0;0;1;3;19;21;True
57;0;0;0;0;0;0;0;0;1;3;19;21;True
58;0;0;0;0;0;0;0;0;1;3;19;21;True
59;0;0;0;0;0;0;0;0;1;3;19;21;True
60;0;0;0;0;0;0;0;0;1;3;19;21;True
61;0;0;0;0;0;0;0;0;1;3;19;21;True
62;0;0;0;0;0;0;0;0;1;3;19;21;True
63;0;0;0;0;0;0;0;0;1;3;19;21;True
64;0;0;0;0;0;0;0;0;1;3;19;21;True
65;0;0;0;0;0;0;0;0;1;3;19;21;True
66;0;0;0;0;0;0;0;0;1;3;19;21;True
67;0;0;0;0;0;0;0;0;1;3;19;21;True
68;0;0;0;0;0;0;0;0;1;3;19;21;True
69;0;0;0;0;0;0;0;0;1;3;19;21;True
70;0;0;0;0;0;0;0;0;1;3;19;21;True
71;0;0;0;0;0;0;0;0;1;3;19;21;True
72;0;0;0;0;0;0;0;0;1;3;19;21;True
73;0;0;0;0;0;0;0;0;0;3;19;20;False
74;0;0;0;0;0;0;0;0;0;3;19;19;False
75;0;0;0;0;0;0;0;0;0;3;19;18;False
76;0;0;0;0;0;0;0;0;0;3;19;17;False
77;0;0;0;0;0;0;0;0;0;3;19;16;False
78;0;0;0;0;0;0;0;0;0;3;19;15;False
79;0;0;0;0;0;0;0;0;0;3;19;14;False
80;0;0;0;0;0;0;0;0;0;3;19;13;False
81;0;0;0;0;0;0;0;0;0;3;19;12;False
82;0;0;0;0;0;0;0;0;0;3;19;11;False
83;0;0;0;0;0;0;0;0;0;3;19;10;False
84;0;0;0;0;0;0;0;0;0;3;19;9;False
85;0;0;0;0;0;0;0;0;0;3;19;8;False
86;0;0;0;0;0;0;0;0;0;3;19;7;False
87;0;0;0;0;0;0;0;0;0;3;19;6;False
88;0;0;0;0;0;0;0;0;0;3;19;5;False
89;0;0;0;0;0;0;0;0;0;3;19;4;False
90;0;0;0;0;0;0;0;0;0;3;19;3;False
91;0;0;0;0;0;0;0;0;0;3;19;2;False
92;0;0;0;0;0;0;0;0;0;3;19;1;False
93;0;0;0;0;0;0;0;0;0;3;19;0;False
94;0;0;0;0;0;0;0;0;0;3;18;59;False
95;0;0;0;0;0;0;0;0;0;3;18;58;False
96;0;0;0;0;0;0;0;0;0;3;18;57;False
97;0;0;0;0;0;0;0;0;0;3;18;56;False
98;0;0;0;0;0;0;0;0;0;3;18;55;False
99;0;0;0;0;0;0;0;0;0;3;18;54;False
100;0;0;0;0;0;0;0;0;0;3;18;53;False
101;0;0;0;0;0;0;0;0;0;3;18;52;False
102;0;0;0;0;0;0;0;0;0;3;18;51;False
103;0;0;0;0;0;0;0;0;0;3;18;50;False
104;0;0;0;0;0;0;0;0;0;3;18;49;False
105;0;0;0;0;0;0;0;0;0;3;18;48;False
106;0;0;0;0;0;0;0;0;0;3;18;47;False
107;0;0;0;0;0;0;0;0;0;3;18;46;False
108;0;0;0;0;0;0;0;0;0;3;18;45;False
109;0;0;0;0;0;0;0;0;0;3;18;44;False
110;0;0;0;0;0;0;0;0;0;3;18;43;False
111;0;0;0;0;0;0;0;0;0;3;18;42;False
112;0;0;0;0;0;0;0;0;0;3;18;41;False
113;0;0;0;0;0;0;0;0;0;3;18;40;False
114;0;0;0;0;0;0;0;0;0;3;18;39;False
115;0;0;0;0;0;0;0;0;0;3;18;38;False
116;0;0;0;0;0;0;0;0;0;3;18;37;False
117;0;0;0;0;0;0;0;0;0;3;18;36;False
118;0;0;0;0;0;0;0;0;0;3;18;35;False
119;0;0;0;0;0;0;0;0;0;3;18;34;False
120;0;0;0;0;0;0;0;0;0;3;18;33;False
121;0;0;0;0;0;0;0;0;0;3;18;32;False
122;0;0;0;0;0;0;0;0;0;3;18;31;False
123;0;0;0;0;0;0;0;0;0;3;18;30;False
124;0;0;0;0;0;0;0;0;0;3;18;29;False
125;0;0;0;0;0;0;0;0;0;3;18;28;False
126;0;0;0;0;0;0;0;0;0;3;18;27;False
127;0;0;0;0;0;0;0;0;0;3;18;26;False
128;0;0;0;0;0;0;0;0;0;3;18;25;False
129;0;0;0;0;0;0;0;0;0;3;18;24;False
130;0;0;0;0;0;0;0;0;0;3;18;23;False
131;0;0;0;0;0;0;0;0;0;3;18;22;False
132;0;0;0;0;0;0;0;0;0;3;18;21;False
133;0;0;0;0;0;0;0;0;0;3;18;20;False
134;0;0;0;0;0;0;0;0;0;3;18;19;False
135;0;0;0;0;0;0;0;0;0;3;18;18;False
136;0;0;0;0;0;0;0;0;0;3;18;17;False
137;0;0;0;0;0;0;0;0;0;3;18;16;False
138;0;0;0;0;0;0;0;0;0;3;18;15;False
139;0;0;0;0;0;0;0;0;0;3;18;14;False
140;0;0;0;0;0;0;0;0;0;3;18;13;False
141;0;0;0;0;0;0;0;0;0;3;18;12;False
142;0;0;0;0;0;0;0;0;0;3;18;11;False
143;0;0;0;0;0;0;0;0;0;3;18;10;False
144;0;0;0;0;0;0;0;0;0;3;18;9;False
145;0;0;0;0;0;0;0;0;0;3;18;8;False
146;0;0;0;0;0;0;0;0;0;3;18;7;False
147;0;0;0;0;0;0;0;0;0;3;18;6;False
148;0;0;0;0;0;0;0;0;0;3;18;5;False
149;0;0;0;0;0;0;0;0;0;3;18;4;False
150;0;0;0;0;0;0;0;0;0;3;18;3;False
151;0;0;0;0;0;0;0;0;0;3;18;2;False
152;0;0;0;0;0;0;0;0;0;3;18;1;False
153;0;0;0;0;0;0;0;0;0;3;18;0;False
154;0;0;0;0;0;0;0;0;0;3;17;59;False
155;0;0;0;0;0;0;0;0;0;3;17;58;False
156;0;0;0;0;0;0;0;0;0;3;17;57;False
157;0;0;0;0;0;0;0;0;0;3;17;56;False
158;0;0;0;0;0;0;0;0;0;3;17;55;False
159;0;0;0;0;0;0;0;0;0;3;17;54;False
160;0;0;0;0;0;0;0;0;0;3;17;53;False
161;0;0;0;0;0;0;0;0;0;3;17;52;False
162;0;0;0;0;0;0;0;0;0;3;17;51;False
163;0;0;0;0;0;0;0;0;0;3;17;51;True
164;0;0;0;0;0;0;0;0;1;3;17;51;True
165;0;0;0;0;0;0;0;0;1;3;17;51;True
166;0;0;0;0;0;0;0;0;1;3;17;51;True
167;0;0;0;0;0;0;0;0;1;3;17;51;True
168;0;0;0;0;0;0;0;0;1;3;17;51;True
169;0;0;0;0;0;0;0;0;1;3;17;51;True
170;0;0;0;0;0;0;0;0;1;3;17;51;True
171;0;0;0;0;0;0;0;0;1;3;17;51;True
172;0;0;0;0;0;0;0;0;1;3;17;51;True
173;0;0;0;0;0;0;0;0;1;3;17;51;True
174;0;0;0;0;0;0;0;0;1;3;17;51;True
175;0;0;0;0;0;0;0;0;1;3;17;51;True
176;0;0;0;0;0;0;0;0;1;3;17;51;True
177;0;0;0;0;0;0;0;0;1;3;17;51;True
178;0;0;0;0;0;0;0;0;1;3;17;51;True
179;0;0;0;0;0;0;0;0;1;3;17;51;True
180;0;0;0;0;0;0;0;0;1;3;17;51;True
181;0;0;0;0;0;0;0;0;1;3;17;51;True
182;0;0;0;0;0;0;0;0;1;3;17;51;True
183;0;0;0;0;0;0;0;0;1;3;17;51;True
184;0;0;0;0;0;0;0;0;1;3;17;51;True
185;0;0;0;0;0;0;0;0;1;3;17;51;True
186;0;0;0;0;0;0;0;0;1;3;17;51;True
187;0;0;0;0;0;0;0;0;1;3;17;51;True
188;0;0;0;0;0;0;0;0;1;3;17;51;True
189;0;0;0;0;0;0;0;0;1;3;17;51;True
190;0;0;0;0;0;0;0;0;0;3;17;51;True
191;0;0;0;0;0;0;0;0;0;3;17;51;True
192;0;0;0;0;0;0;0;0;0;3;17;51;True
193;0;0;0;0;0;0;0;0;0;3;17;51;True
194;0;0;0;0;0;0;0;0;1;3;17;51;True
195;0;0;0;0;0;0;0;0;1;3;17;51;True
196;0;0;0;0;0;0;0;0;1;3;17;51;True
197;0;0;0;0;0;0;0;0;1;3;17;51;True
198;0;0;0;0;0;0;0;0;0;3;17;50;False
199;0;0;0;0;0;0;0;0;0;3;17;49;False
200;0;0;0;0;0;0;0;0;0;3;17;48;False
201;0;0;0;0;0;0;0;0;0;3;17;47;False
202;0;0;0;0;0;0;0;0;0;3;17;46;False
203;0;0;0;0;0;0;0;0;0;3;17;45;False
204;0;0;0;0;0;0;0;0;0;3;17;44;False
205;0;0;0;0;0;0;0;0;0;3;17;43;False
206;0;0;0;0;0;0;0;0;0;3;17;42;False
207;0;0;0;0;0;0;0;0;0;3;17;41;False
208;0;0;0;0;0;0;0;0;0;3;17;40;False
209;0;0;0;0;0;0;0;0;0;3;17;39;False
210;0;0;0;0;0;0;0;0;0;3;17;38;False
211;0;0;0;0;0;0;0;0;0;3;17;37;False
212;0;0;0;0;0;0;0;0;0;3;17;36;False
213;0;0;0;0;0;0;0;0;0;3;17;35;False
214;0;0;0;0;0;0;0;0;0;3;17;34;False
215;0;0;0;0;0;0;0;0;0;3;17;33;False
216;0;0;0;0;0;0;0;0;0;3;17;32;False
217;0;0;0;0;0;0;0;0;0;3;17;31;False
218;0;0;0;0;0;0;0;0;0;3;17;30;False
219;0;0;0;0;0;0;0;0;0;3;17;29;False
220;0;0;0;0;0;0;0;0;0;3;17;28;False
221;0;0;0;0;0;0;0;0;0;3;17;27;False
222;0;0;0;0;0;0;0;0;0;3;17;26;False
223;0;0;0;0;0;0;0;0;0;3;17;25;False
224;0;0;0;0;0;0;0;0;0;3;17;24;False
225;0;0;0;0;0;0;0;0;0;3;17;23;False
226;0;0;0;0;0;0;0;0;0;3;17;22;False
227;0;0;0;0;0;0;0;0;0;3;17;21;False
228;0;0;0;0;0;0;0;0;0;3;17;20;False
229;0;0;0;0;0;0;0;0;0;3;17;19;False
230;0;0;0;0;0;0;0;0;0;3;17;18;False
231;0;0;0;0;0;0;0;0;0;3;17;17;False
232;0;0;0;0;0;0;0;0;0;3;17;16;False
233;0;0;0;0;0;0;0;0;0;3;17;15;False
234;0;0;0;0;0;0;0;0;0;3;17;14;False
235;0;0;0;0;0;0;0;0;0;3;17;13;False
236;0;0;0;0;0;0;0;0;0;3;17;12;False
237;0;0;0;0;0;0;0;0;0;3;17;11;False
238;0;0;0;0;0;0;0;0;0;3;17;10;False
239;0;0;0;0;0;0;0;0;0;3;17;9;False
240;0;0;0;0;0;0;0;0;0;3;17;8;False
241;0;0;0;0;0;0;0;0;0;3;17;7;False
242;0;0;0;0;0;0;0;0;0;3;17;6;False
243;0;0;0;0;0;0;0;0;0;3;17;5;False
244;0;0;0;0;0;0;0;0;0;3;17;4;False
245;0;0;0;0;0;0;0;0;0;3;17;3;False
246;0;0;0;0;0;0;0;0;0;3;17;2;False
247;0;0;0;0;0;0;0;0;0;3;17;1;False
248;0;0;0;0;0;0;0;0;0;3;17;0;False
249;0;0;0;0;0;0;0;0;0;3;16;59;False
250;0;0;0;0;0;0;0;0;0;3;16;58;False
251;0;0;0;0;0;0;0;0;0;3;16;57;False
252;0;0;0;0;0;0;0;0;0;3;16;56;False
253;0;0;0;0;0;0;0;0;0;3;16;55;False
254;0;0;0;0;0;0;0;0;0;3;16;54;False
255;0;0;0;0;0;0;0;0;0;3;16;53;False
256;0;0;0;0;0;0;0;0;0;3;16;52;False
