time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
0;0;0;0;0;0;0;0;0;1;1;19;59;False
1;0;1;0;1;0;0;0;1;1;1;19;58;False
2;0;1;0;1;0;0;0;1;0;1;19;57;False
3;0;0;0;0;0;0;0;0;0;1;19;56;False
4;0;0;0;0;0;0;0;0;0;1;19;56;False
5;0;0;0;0;0;0;0;0;0;1;19;56;False
6;0;0;0;0;0;0;0;0;0;1;19;56;False
7;0;0;0;0;0;0;0;0;0;1;19;56;False
8;0;0;0;0;0;0;0;0;0;1;19;56;False
9;0;0;0;0;0;0;0;0;0;1;19;56;False
10;0;0;0;0;0;0;0;0;0;1;19;56;False
11;0;0;0;0;0;0;0;0;0;1;19;56;False
12;0;1;0;1;0;0;0;0;0;1;19;56;False
13;0;1;0;1;0;0;1;0;0;1;19;56;False
14;0;1;0;1;0;0;1;0;0;1;19;45;False
15;0;1;0;1;0;0;0;1;0;1;19;44;False
16;0;1;0;1;0;0;0;1;0;1;19;43;False
17;0;0;0;0;0;0;0;0;0;1;19;42;False
18;0;0;0;0;0;0;0;0;0;1;19;41;False
19;0;0;0;0;0;0;0;0;0;1;19;40;False
20;0;0;0;0;0;0;0;0;0;1;19;39;False
21;0;0;0;0;0;0;0;0;0;1;19;38;False
22;0;0;0;0;0;0;0;0;0;1;19;37;False
23;0;0;0;0;0;0;0;0;0;1;19;36;False
24;0;0;0;0;0;0;0;0;0;1;19;35;False
25;0;0;0;0;0;0;0;0;0;1;19;34;False
26;0;0;0;0;0;0;0;0;0;1;19;33;False
27;0;0;0;0;0;0;0;0;0;1;19;32;False
28;0;0;0;0;0;0;0;0;0;1;19;31;False
29;0;0;0;0;0;0;0;0;0;1;19;30;False
30;0;0;0;0;0;0;0;0;0;1;19;29;False
31;0;0;0;0;0;0;0;0;0;1;19;28;False
32;0;0;0;0;0;0;0;0;0;1;19;27;False
33;0;0;0;0;0;0;0;0;0;1;19;26;False
34;0;0;0;0;0;0;0;0;0;1;19;25;False
35;0;0;0;0;0;0;0;0;0;1;19;24;False
36;0;0;0;0;0;0;0;0;0;1;19;23;False
37;1;0;0;0;0;0;0;0;0;1;19;22;False
38;2;0;0;0;0;0;0;0;0;1;19;21;False
39;3;0;0;0;0;0;0;0;0;1;19;20;False
40;4;0;0;0;0;0;0;0;0;1;19;19;False
